Song,Movie,Year,Raga,Musician,Lyricist,Singers,Song_ID,Movie_ID,Song_URL,Movie_URL
Engine Njaan,Deshaadanam,1996,Aarabhi,Kaithapram,Kaithapram,Sujatha Mohan,9881,1486,https://en.msidb.org/s.php?9881,https://en.msidb.org/m.php?1486
Neelakkaarmukilvarnnananneram,Deshaadanam,1996,Aarabhi,Kaithapram,Kaithapram,"Manju Menon, Kunjanujathi Thampuratti",9882,1486,https://en.msidb.org/s.php?9882,https://en.msidb.org/m.php?1486
Poli Poliye [Perumthudi],Mannaadiyaar Penninu Chenkotta Chekkan,1997,Aarabhi,Raveendran,PK Gopi,Pradip Somasundaran,12602,4225,https://en.msidb.org/s.php?12602,https://en.msidb.org/m.php?4225
Thiruvaathira,Kanmadam,1998,Aarabhi,Raveendran,Gireesh Puthenchery,"MG Sreekumar, Radhika Thilak",9626,2313,https://en.msidb.org/s.php?9626,https://en.msidb.org/m.php?2313
Thiruvaathira [CD],Kanmadam,1998,Aarabhi,Raveendran,Gireesh Puthenchery,"Sudeep Kumar, Radhika Thilak",17632,2313,https://en.msidb.org/s.php?17632,https://en.msidb.org/m.php?2313
Devalokam pole,Thattakam,1998,Aarabhi,Kaithapram,Kaithapram,"RK Ramadas, Sangeetha Madhav",12948,3172,https://en.msidb.org/s.php?12948,https://en.msidb.org/m.php?3172
Kovaalanum,Aakaashaganga,1999,Aarabhi,Berny Ignatius,S Ramesan Nair,KS Chithra,9529,1349,https://en.msidb.org/s.php?9529,https://en.msidb.org/m.php?1349
Anuraagappuzhavakkil,English Medium,1999,Aarabhi,Raveendran,Gireesh Puthenchery,"Pattanakkad Purushothaman, Susmitha",9493,2622,https://en.msidb.org/s.php?9493,https://en.msidb.org/m.php?2622
Maanathe Manithumba (Niranaazhi),Valyettan,2000,Aarabhi,Mohan Sithara,Gireesh Puthenchery,"MG Sreekumar, Chorus",11787,3419,https://en.msidb.org/s.php?11787,https://en.msidb.org/m.php?3419
Moonam thrikannil,Varnakkaazhchakal,2000,Aarabhi,Mohan Sithara,Yusufali Kecheri,"Mohan Sithara, KS Chithra",9223,1573,https://en.msidb.org/s.php?9223,https://en.msidb.org/m.php?1573
