ID,Name,Original_Name,Melakarta_No,Melakarta_Name,Chakra_No,Chakra_Name,Arohana,Avarohana,Scale_Type,Is_Bhashanga,Anya_Swaras,Is_Vakra,Extra_Note
"reethi-chandrika","Reethi Chandrika","Reethi Chandrikā",52,"Ramapriya",9,"Brahma","S R1 G3 M2 P D2 S'","S' N2 D2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"seemantinipriya","Seemantinipriya","Seemantinipriyā",52,"Ramapriya",9,"Brahma","S R1 G3 M2 D2 N2 S'","S' N2 D2 M2 G3 R1 S","Shadava",No,"",Yes,""
"sukhakari","Sukhakari","Sukhakari",52,"Ramapriya",9,"Brahma","S R1 S P D2 N2 S'","S' N2 D2 P M2 G3 S R1 S","Audava-Sampurna",No,"",Yes,""
"vedhaswaroopi","Vedhaswaroopi","Vedhaswaroopi",52,"Ramapriya",9,"Brahma","S R1 G3 M2 P D2 N3 P S'","S' N3 D2 P N3 P M2 G3 S","Sampurna-Shadava",No,"",Yes,""
"gamakakriya","Gamakakriya","Gamakakriyā",53,"Gamanashrama",9,"Brahma","S R1 G3 M2 P D2 S'","S' N3 D2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"alankari","Alankari","Alankāri",53,"Gamanashrama",9,"Brahma","S G3 M2 D2 N3 D2 S'","S' N3 D2 M2 G3 S","Audava",No,"",Yes,""
"bhatiyar","Bhatiyar","Bhatiyār",53,"Gamanashrama",9,"Brahma","S D2 P D2 M2 P G3 M2 D2 S","R1 N3 D2 P M2 P G3 R1 S","Audava-Sampurna",Yes,"M1",Yes,"Hindustani equivalent"
"dvigandharabhooshani","Dvigandharabhooshani","Dvigāndhārabhooshani",53,"Gamanashrama",9,"Brahma","S R1 G2 G3 G2 P D2 S'","S' D2 P G2 G3 G2 R1 S D2 S","Audava",No,"",Yes,""
"hamsanandi","Hamsanandi","Hamsānandi",53,"Gamanashrama",9,"Brahma","S R1 G3 M2 D2 N3 S'","S' N3 D2 M2 G3 R1 S","Shadava",No,"",Yes,""
"mechakangi","Mechakangi","Mechakāngi",53,"Gamanashrama",9,"Brahma","S R1 G3 M2 P D2 P N3 S'","S' N3 P D2 P M2 G3 R1 S","Sampurna",No,"",Yes,""
"padmakalyani","Padmakalyani","Padmakalyāni",53,"Gamanashrama",9,"Brahma","S G3 P N3 S'","S' N3 D2 P M2 G3 S","Swarantara-Shadava",No,"",Yes,""
"poorvi-kalyani","Poorvi Kalyani","Poorvi Kalyāni",53,"Gamanashrama",9,"Brahma","S R1 G3 M2 P D2 P S'","S' N3 D2 P M2 G3 R1 S","Shadava-Sampurna",No,"",Yes,""
"sharabadhvaja","Sharabadhvaja","Sharabadhvāja",53,"Gamanashrama",9,"Brahma","S R1 G3 M2 P D2 S'","S' D2 P G3 R1 S","Shadava-Audava",No,"",Yes,""
"sohini","Sohini","Sohini",53,"Gamanashrama",9,"Brahma","S G3 M2 D2 N3 S'","S' N3 D2 M2 G3 R1 S","Audava-Shadava",No,"",Yes,"Hindustani equivalent"
"vaishaka","Vaishaka","Vaishaka",53,"Gamanashrama",9,"Brahma","S R1 G3 M2 P D2 N3 S'","S' N3 D2 N3 P M2 G3 M2 R1 S","Sampurna",No,"",Yes,""
"vamshavathi","Vamshavathi","Vamshavathi",54,"Viswambhari",9,"Brahma","S R1 G3 M2 P D3 N3 S'","S' N3 P M2 G3 R1 S","Sampurna-Shadava",No,"",Yes,""
"hemangi","Hemangi","Hemāngi",54,"Viswambhari",9,"Brahma","S R1 G3 M2 D3 S'","S' D3 M2 G3 R1 S","Audava",No,"",Yes,""
"pooshakalyani","Pooshakalyani","Pooshakalyāni",54,"Viswambhari",9,"Brahma","S R1 G3 M2 P D3 N3 S'","S' N3 P M2 G3 R1 S","Sampurna-Shadava",No,"",Yes,""
"sharadhyuthi","Sharadhyuthi","Sharadhyuthi",54,"Viswambhari",9,"Brahma","S R1 G3 M2 P D3 N3 D3 S'","S' N3 D3 P M2 G3 R1 S","Sampurna",No,"",Yes,""
"suddhakriya","Suddhakriya","Suddhakriyā",54,"Viswambhari",9,"Brahma","S R1 M2 M2 P D3 S'","S' D3 P M2 G3 R1 S","Audava-Shadava",No,"",Yes,""
"sundarangi","Sundarangi","Sundarāngi",54,"Viswambhari",9,"Brahma","S R1 G3 P D3 N3 S'","S' N3 D3 P G3 R1 S","Shadava",No,"",Yes,""
"vijayavasantham","Vijayavasantham","Vijayavasantham",54,"Viswambhari",9,"Brahma","S M2 P D3 N3 S'","S' N3 P M2 G3 S","Audava",No,"",Yes,""
"shyamalam","Shyamalam","Shyāmalam",55,"Syamalangi",10,"Disi (Directions)","S R2 G2 M2 P D1 N1 S'","S' N1 D1 P M2 G2 R2 S","Sampurna",No,"",Yes,""
"deshavali","Deshavali","Deshāvali",55,"Syamalangi",10,"Disi (Directions)","S R2 G2 M2 D1 N1 D1 S'","S' N1 D1 M2 G2 R2 S","Shadava",No,"",Yes,""
"vijayamalavi","Vijayamalavi","Vijayamālavi",55,"Syamalangi",10,"Disi (Directions)","S R2 M2 P D1 S'","S' N1 D1 P M2 R2 S","Audava-Shadava",No,"",Yes,""
"chamaram","Chamaram","Chāmaram",56,"Shanmukhapriya",10,"Disi (Directions)","S R2 M2 P D1 N2 S'","S' N2 D1 P M2 G2 R2 S","Shadava-Sampurna",No,"",Yes,""
"bhashini","Bhashini","Bhāshini",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 R2 G2 M2 P D1 N2 S'","S' N2 D1 P M2 G2 R1 S","Sampurna",No,"",Yes,""
"chintamani","Chintamani","Chintāmani",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 R2 G2 M2 G2 R2 G2 P M2 P D2 N2 S'","S' N2 D2 P M2 G2 R2 S","Sampurna",No,"",Yes,""
"dhanakari","Dhanakari","Dhanakari",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 P D1 N2 S'","S' N2 D1 M2 G2 S","Audava",No,"",Yes,""
"garigadya","Garigadya","Garigadya",56,"Shanmukhapriya",10,"Disi (Directions)","N2 S G2 M2 P D1 N2","D1 P M2 G2 R2 S","Shadava",No,"",Yes,""
"gopikathilakam","Gopikathilakam","Gopikathilakam",56,"Shanmukhapriya",10,"Disi (Directions)","S R2 G2 M2 P N2 S'","S' N2 P M2 G2 R2 S","Shadava",No,"",Yes,""
"kokilanandhi","Kokilanandhi","Kokilanandhi",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 M2 D1 N2 S'","S' N2 D1 P M2 G2 S","Audava-Shadava",No,"",Yes,""
"rajeshwari","Rajeshwari","Rājeshwari",56,"Shanmukhapriya",10,"Disi (Directions)","S R2 G2 P N2 S'","S' N2 D1 P M1 G2 S","Audava-Shadava",No,"",Yes,""
"samudrapriya","Samudrapriya","Samudrapriyā",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 M2 P N2 S'","S' N2 P M2 G2 S","Audava",No,"",Yes,""
"shanmukhi","Shanmukhi","Shanmukhi",56,"Shanmukhapriya",10,"Disi (Directions)","S R1 G2 M2 D1 N2 S'","S' N2 D1 M2 G2 R1 S","Shadava",No,"",Yes,"Trimoorti"
"sumanasaranjani","Sumanasaranjani","Sumanasaranjani",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 M2 P N2 S'","S' N2 P M2 G2 S","Audava",No,"",Yes,""
"vasukari","Vasukari","Vasukari",56,"Shanmukhapriya",10,"Disi (Directions)","S G2 M2 P D1 N2 S'","S' N2 D1 M2 G2 S","Shadava-Audava",No,"",Yes,""
"anandavalli","Anandavalli","Ānandavalli",57,"Simhendramadhyamam",10,"Disi (Directions)","S G2 M2 P N3 S'","S' N3 P M2 G2 S","Audava",No,"",Yes,""
"ghantana","Ghantana","Ghantana",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 G2 M2 D1 N3 S'","S' N3 D1 M2 G2 R2 S","Shadava",No,"",Yes,""
"jayachoodamani","Jayachoodamani","Jayachoodāmani",57,"Simhendramadhyamam",10,"Disi (Directions)","S G2 M2 P D1 S'","S' N3 D1 P M2 G2 R2 S","Audava-Sampurna",No,"",Yes,""
"pranavapriya","Pranavapriya","Pranavapriyā",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 M2 P N3 S'","S' N3 P M2 G2 R2 S","Audava-Shadava",No,"",Yes,""
"sarvangi","Sarvangi","Sarvāngi",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 M2 D1 N3 S'","S' N3 D1 M2 G2 S R3 S","Audava-Shadava",No,"",Yes,""
"seshanadam","Seshanadam","Seshanādam",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 G2 M2 P D1 S'","S' N3 D1 P M2 G2 R2 S","Shadava-Sampurna",No,"",Yes,""
"suddha-m57","Suddha","Suddha",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 G2 M2 P N3 S'","S' N3 P M2 G2 R2 S","Shadava",No,"",Yes,""
"sunadapriya","Sunadapriya","Sunādapriyā",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 G2 M2 P S'","S' N3 D1 P M2 G2 R2 S","Audava-Sampurna",No,"",Yes,""
"urmika","Urmika","Urmikā",57,"Simhendramadhyamam",10,"Disi (Directions)","S R2 G2 M2 P N3 S'","S' N3 P M2 G2 R2 S","Shadava",No,"",Yes,""
"vijayasaraswathi","Vijayasaraswathi","Vijayasaraswathi",57,"Simhendramadhyamam",10,"Disi (Directions)","S G2 M2 P D1 N3 S'","S' N3 P M2 G2 R2 S","Shadava",No,"",Yes,""
"deshisimharavam","Deshisimharavam","Deshisimhāravam",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 P D2 N2 S'","S' N2 D2 P M2 G2 R2 S","Sampurna",No,"",Yes,""
"chandrarekha","Chandrarekha","Chandrarekhā",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 P D2 S'","S' N2 D2 M2 G2 R2 S","Shadava",No,"",Yes,""
"hamsabhramari","Hamsabhramari","Hamsabhramari",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 P D2 S'","S' N2 D2 P M2 G2 R2 S","Shadava-Sampurna",No,"",Yes,""
"hemambari","Hemambari","Hemāmbari",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 P D2 N2 S'","S' P M2 G2 R2 S","Sampurna-Audava",No,"",Yes,""
"hemapriya","Hemapriya","Hemapriya",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 D2 S'","S' D2 M2 G2 R2 S","Audava",No,"",Yes,""
"kshemakari","Kshemakari","Kshemakari",58,"Hemavati",10,"Disi (Directions)","S R2 M2 D2 N2 S'","S' N2 D2 M2 R2 S","Audava",No,"",Yes,""
"madhukowns","Madhukowns","Madhukowns",58,"Hemavati",10,"Disi (Directions)","S G2 M2 P N2 P S'","S' N2 P M2 G2 S","Audava",No,"",Yes,""
"shakthiroopini","Shakthiroopini","Shakthiroopini",58,"Hemavati",10,"Disi (Directions)","S G2 M2 D2 S'","S' N2 D2 M2 G2 S","Swarantara-Audava",No,"",Yes,""
"simharava","Simharava","Simhārava",58,"Hemavati",10,"Disi (Directions)","S R2 M2 P N2 S'","S' N2 P M2 R2 G2 R2 S","Audava-Shadava",No,"",Yes,""
"vijayasaranga","Vijayasaranga","Vijayasāranga",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 P D2 S'","S' N2 D2 M2 G2 R2 S","Shadava",No,"",Yes,""
"vijayashrangi","Vijayashrangi","Vijayashrāngi",58,"Hemavati",10,"Disi (Directions)","S R2 G2 M2 P D2 S'","S' N2 D2 M2 G2 R2 S","Shadava",No,"",Yes,""
"yagini","Yagini","Yāgini",58,"Hemavati",10,"Disi (Directions)","S R2 M2 P N2 S'","S' N2 P M2 R2 S","Audava",No,"",Yes,""
"dhamavathi","Dhamavathi","Dhāmavathi",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 M2 P D2 N3 S'","S' N3 D2 P M2 G2 R2 S","Sampurna",No,"",Yes,""
"sri-tyagaraja","Sri Tyagaraja","Sri Tyagaraja",59,"Dharmavati",10,"Disi (Directions)","S G2 M2 P N3 S'","S' N3 P M2 G2 R2 S","Audava-Shadava",No,"",Yes,"Raga created by Mahesh Mahadev"
"gowrikriya","Gowrikriya","Gowrikriya",59,"Dharmavati",10,"Disi (Directions)","S G2 M2 P D2 N3 S'","S' N3 D2 N3 P M2 G2 S","Shadava",No,"",Yes,""
"karmukhavati","Karmukhavati","Karmukhāvati",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 M2 D2 N3 S'","S' N3 D2 M2 G2 R2 S","Shadava",No,"",Yes,""
"karpoora-bharani","Karpoora Bharani","Karpoora Bharani",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 P M2 P D2 S'","S' D2 P M2 P G2 R2 S","Shadava",No,"",Yes,""
"lalitasimharavam","Lalitasimharavam","Lalitasimharavam",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 M2 P S'","S' N3 P M2 G2 R2 S","Audava-Shadava",No,"",Yes,""
"madhumalti","Madhumalti","Madhumālti",59,"Dharmavati",10,"Disi (Directions)","N3 S G2 M2 P S'","S' N3 D2 P M2 G2 R2 S","Audava-Sampurna",Yes,"M1",Yes,"Hindustani equivalent"
"madhuvanthi","Madhuvanthi","Madhuvanthi",59,"Dharmavati",10,"Disi (Directions)","S G2 M2 P N3 S'","S' N3 D2 P M2 G2 R2 S","Audava-Sampurna",No,"",Yes,"Hindustani equivalent"
"moharanjani","Moharanjani","Moharanjani",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 P D2 S'","S' N3 D2 M2 G2 S","Audava",No,"",Yes,""
"ranjani","Ranjani","Ranjani",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 M2 D2 S'","S' N3 D2 M2 G2 S","Audava",No,"",Yes,""
"varada","Varada","Varada",59,"Dharmavati",10,"Disi (Directions)","S R2 M2 P N3 S'","S' N3 P M2 R2 S","Audava",No,"",Yes,""
"vijayanagari","Vijayanagari","Vijayanāgari",59,"Dharmavati",10,"Disi (Directions)","S R2 G2 M2 P D2 S'","S' D2 P M2 G2 R2 S","Shadava",No,"",Yes,""
"vishveshwarapriya","Vishveshwarapriya","Vishveshwarapriyā",59,"Dharmavati",10,"Disi (Directions)","S R2 M2 P N3 S'","S' N3 D2 P M2 R2 S","Audava-Shadava",No,"",Yes,""
"nisshadham","Nisshadham","Nisshadham",60,"Neetimati",10,"Disi (Directions)","S R2 G2 M2 P D3 N3 S'","S' N3 P M2 G2 R2 S","Sampurna-Shadava",No,"",Yes,""
"amarasenapriya","Amarasenapriya","Amarasenapriyā",60,"Neetimati",10,"Disi (Directions)","S R2 M2 P N2 S'","S' N3 P M2 G2 R2 S","Audava-Shadava",No,"",Yes,""
"deshyaganavaridhi","Deshyaganavaridhi","Deshyagānavaridhi",60,"Neetimati",10,"Disi (Directions)","S R2 G2 M2 P D3 N3 P S'","S' N3 S P M2 G2 R2 S","Sampurna-Shadava",No,"",Yes,""
"hamsanadam","Hamsanadam","Hamsanādam",60,"Neetimati",10,"Disi (Directions)","S R2 M2 P D3 N3 S' S R2 M2 P N3 S","S N3 D3 P M2 R2 S' S N3 P M2 R2 S","Shadava",No,"",Yes,""
"kaikavashi","Kaikavashi","Kaikavashi",60,"Neetimati",10,"Disi (Directions)","S R2 G2 M2 P D3 N3 S'","S' N3 P M2 G2 R2 S","Sampurna-Shadava",No,"",Yes,""
"nuthanachandrika","Nuthanachandrika","Nuthanachandrikā",60,"Neetimati",10,"Disi (Directions)","S R2 G2 M2 P D3 N3 S'","S' N3 P D3 N3 P M2 G2 S","Sampurna-Shadava",No,"",Yes,""
"rathnasaranga","Rathnasaranga","Rathnasāranga",60,"Neetimati",10,"Disi (Directions)","S R2 G2 M2 P N3 S'","S' N3 D3 P M2 G2 R2 S","Shadava-Sampurna",No,"",Yes,""
"kunthalam","Kunthalam","Kunthalam",61,"Kantamani",11,"Rudra","S R2 G3 M2 P D1 S'","S' N1 D1 P M2 G3 R2 S","Shadava-Sampurna",No,"",Yes,""
"kanakakusumavali","Kanakakusumavali","Kanakakusumāvali",61,"Kantamani",11,"Rudra","S R2 G3 M2 P D2 S'","S' D2 P M2 G3 R2 S","Shadava",No,"",Yes,""
"shruthiranjani","Shruthiranjani","Shruthiranjani",61,"Kantamani",11,"Rudra","S R2 G3 M2 P D1 N1","N1 D1 P M2 G3 R2 S","Sampurna",No,"",No,""
"rathipriya","Rathipriya","Rathipriyā",62,"Rishabhapriya",11,"Rudra","S R2 G3 M2 P D1 N2 S'","S' N2 D1 P M2 G3 R2 S","Sampurna",No,"",Yes,""
"gopriya","Gopriya","Gopriya",62,"Rishabhapriya",11,"Rudra","S R2 G3 M2 D1 N2 S'","S' N2 D1 M2 G3 R2 S","Shadava",No,"",Yes,""
"poornasaveri","Poornasaveri","Poornasāveri",62,"Rishabhapriya",11,"Rudra","S R2 M2 P D1 S'","S' N2 D1 P M2 G3 R2 S","Audava-Sampurna",No,"",Yes,""
"rathnabhanu","Rathnabhanu","Rathnabhānu",62,"Rishabhapriya",11,"Rudra","S R2 M2 P N2 D1 N2 S'","S' N2 D1 P M2 G3 R2 S","Shadava-Sampurna",No,"",Yes,""
"suddha-saranga","Suddha Saranga","Suddha Sāranga",62,"Rishabhapriya",11,"Rudra","S G3 M2 P N2 S'","S' D1 P M2 G3 S","Audava",No,"",Yes,""
"geethapriya","Geethapriya","Geethapriyā",63,"Latangi",11,"Rudra","S R2 G3 M2 P D1 N3 S'","S' N3 D1 P M2 G3 R2 S","Sampurna",No,"",Yes,""
"chitrachandrika","Chitrachandrika","Chitrachandrika",63,"Latangi",11,"Rudra","S G3 R2 G3 M2 P N3 D1 S'","S' N3 D1 M2 G3 R2 S","Sampurna-Shadava",No,"",Yes,""
"hamsalatha","Hamsalatha","Hamsalatha",63,"Latangi",11,"Rudra","S R2 G3 P N3 S'","S' N3 D1 P M2 G3 R2 S","Audava-Sampurna",No,"",Yes,""
"kananapriya","Kananapriya","Kananapriyā",63,"Latangi",11,"Rudra","S R2 G3 M2 P M2 D1 N3 S'","S' D1 N3 P M2 G3 R2 S","Sampurna",No,"",Yes,""
"karunakari","Karunakari","Karunākari",63,"Latangi",11,"Rudra","S M2 P D1 N3 D1 S'","S' N3 D1 P M2 S","Audava",No,"",Yes,""
"lalithangi","Lalithangi","Lalithāngi",63,"Latangi",11,"Rudra","S R2 G3 M2 D1 N3 S'","S' N3 D1 M2 G3 R2 S","Shadava",No,"",Yes,""
"ramani","Ramani","Ramani",63,"Latangi",11,"Rudra","S G3 M2 P N3 S'","S' N3 D1 P M2 G3 S","Audava-Shadava",No,"",Yes,""
"rathnakanthi","Rathnakanthi","Rathnakānthi",63,"Latangi",11,"Rudra","S R2 G3 M2 P N3 S'","S' N3 P M2 G3 R2 S","Shadava",No,"",Yes,""
"raviswaroopini","Raviswaroopini","Raviswaroopini",63,"Latangi",11,"Rudra","S G3 M2 P D1 N3 S'","S' N3 D1 P M2 G3 S","Shadava",No,"",Yes,""
"sajjananandhi","Sajjananandhi","Sajjananandhi",63,"Latangi",11,"Rudra","S R2 G3 M2 P D1 N3 S'","S' N3 D1 M2 G3 R2 S","Sampurna-Shadava",No,"",Yes,""
"skandamanorama","Skandamanorama","Skandamanorama",63,"Latangi",11,"Rudra","S R2 M2 P N3 S'","S' N3 P M2 R2 S","Audava",No,"",Yes,""
"bhooshavathi","Bhooshavathi","Bhooshāvathi",64,"Vachaspati",11,"Rudra","S R2 G3 M2 P D2 N2 S'","S' N2 D2 P M2 G3 R2 S","Sampurna",No,"",Yes,""
"bhagavataranjana","Bhagavataranjana","Bhagavataranjana",64,"Vachaspati",11,"Rudra","S R2 M2 P D2 N2 S'","S' N2 D2 P M2 G3 R2 S","Shadava-Sampurna",No,"",Yes,""
"bhogeeshwari","Bhogeeshwari","Bhogeeshwari",64,"Vachaspati",11,"Rudra","S R2 G3 P D2 N2 D2 S'","S' N2 D2 P M2 G3 R2 S","Shadava-Sampurna",No,"",Yes,""
"bhooshavali","Bhooshavali","Bhooshāvali",64,"Vachaspati",11,"Rudra","S R2 G3 M2 P D2 S'","S' N2 D2 P M2 G3 R2 S","Shadava-Sampurna",No,"",Yes,""
"dwigandharabhooshani","Dwigandharabhooshani","Dwigāndhārabhooshani",64,"Vachaspati",11,"Rudra","S R1 G2 G3 G2 P D2 S'","S' D2 P G2 G3 G2 R1 S D2 S","Audava",No,"",Yes,""
"gaganamohini","Gaganamohini","Gaganamohini",64,"Vachaspati",11,"Rudra","S G3 P D2 N2 S'","S' N2 P M2 G3 S","Audava",No,"",Yes,""
"gurupriya","Gurupriya","Gurupriya",64,"Vachaspati",11,"Rudra","S R2 G3 M2 D2 N2 S'","S' N2 D2 M2 G3 R2 S","Shadava",No,"",Yes,""
"hrdhini","Hrdhini","Hrdhini",64,"Vachaspati",11,"Rudra","S G3 M2 P N2 S'","S' N2 P M2 G3 S","Audava",No,"",Yes,""
"mangalakari","Mangalakari","Mangalakari",64,"Vachaspati",11,"Rudra","S R2 P M2 P D2 N2 S'","S' N2 D2 P G3 R2 S","Shadava",No,"",Yes,""
"mukthidayini","Mukthidayini","Mukthidāyini",64,"Vachaspati",11,"Rudra","S G3 M2 P D2 N2 S'","S' N2 D2 P M2 G3 S","Shadava",No,"",Yes,""
"nadhabrahma","Nadhabrahma","Nādhabrahma",64,"Vachaspati",11,"Rudra","S P M2 P D2 N2 S'","S' N2 D2 P M2 G3 S","Audava-Shadava",No,"",Yes,""
"pranavakari","Pranavakari","Pranavākāri",64,"Vachaspati",11,"Rudra","P N2 D2 N2 S R2 G3 M2","P M2 G3 R2 S N2 D2 N2 P","Sampurna",No,"",Yes,""
"saraswathi","Saraswathi","Saraswathi",64,"Vachaspati",11,"Rudra","S R2 M2 P D2 S'","S' N2 D2 P M2 R2 S","Audava-Shadava",No,"",Yes,""
"shivaranjani-m64","Shivaranjani","Shivaranjani",64,"Vachaspati",11,"Rudra","S R2 G3 M2 D2 P N2 S'","S' N2 D2 P D2 M2 G3 R2 S","Sampurna",No,"",Yes,"Original"
"triveni","Triveni","Triveni",64,"Vachaspati",11,"Rudra","S R2 M2 P D2 N2 S'","S' N2 D2 P M2 R2 S","Shadava",No,"",Yes,""
"utthari","Utthari","Utthari",64,"Vachaspati",11,"Rudra","S G3 M2 P D2 N2 S'","S' N2 D2 M2 G3 S","Shadava-Audava",No,"",Yes,""
"shanthakalyani","Shanthakalyani","Shānthakalyāni",65,"Mechakalyani",11,"Rudra","S R2 G3 M2 P D2 N3 S'","S' N3 D2 P M2 G3 R2 S","Sampurna",No,"",Yes,""
"amritha-kalyani","Amritha Kalyani","Amritha Kalyani",65,"Mechakalyani",11,"Rudra","S G3 M2 P N3 S'","S' N3 D2 P M2 G3 R2 S","Audava-Sampurna",No,"",Yes,"Raga created by Mahesh Mahadev"
"amritha-behag","Amritha Behag","Amritha Behāg",65,"Mechakalyani",11,"Rudra","S M2 G3 P N3 S","D2 N3 D2 M2 G3 S","Audava",No,"",Yes,""
"aprameya","Aprameya","Aprameya",65,"Mechakalyani",11,"Rudra","S R2 M2 P D2 S'","S' N3 D2 M2 G3 M2 R2 S","Audava-Shadava",No,"",Yes,""
"bhoopkalyani","Bhoopkalyani","Bhoopkalyāni",65,"Mechakalyani",11,"Rudra","S R2 G3 P D2 S'","S' N3 D2 P M2 G3 R2 S","Audava-Sampurna",No,"",Yes,""
"bhoopali","Bhoopali","Bhoopāli",65,"Mechakalyani",11,"Rudra","S R2 G3 P D2 S'","S' D2 P G3 R2 S","Audava",No,"",Yes,"Hindustani equivalent"
"chandrakantha","Chandrakantha","Chandrakāntha",65,"Mechakalyani",11,"Rudra","S R2 G3 M2 P D2 N3 S'","S' N3 D2 N3 P M2 G3 R2 S","Sampurna",No,"",Yes,""
"hameer","Hameer","Hameer",65,"Mechakalyani",11,"Rudra","S R2 S G3 M1 D2 N3 D2 S'","S' N3 D2 N3 P G3 M1 D2 M2 P D2 P G3 M1 R2 S","Shadava-Sampurna",Yes,"M1",Yes,"Hindustani equivalent"
"hameer-kalyani-carnatic-interpretation-of-kedar-","Hameer Kalyani {carnatic interpretation of Kedar}","Hameer Kalyāni {carnatic interpretation of Kedar}",65,"Mechakalyani",11,"Rudra","S P M2 P D2 N3 S' S R2 S P M2 P D2 N3 S' S R2 S P M2 N3 D2 S N3 S' S R2 G3 M2 P D2 N3 P D2 P S' S P M2 P D2 N3 S'","S' N3 D2 P M2 M1 G3 P M1 R2 S' S N3 D2 P M2 G3 M1 G3 R2 S' S N3 D2 P M2 G M1 R2 S S N3 D2 P G3 M1 G3 R2 S' S N3 D2 P G3 M1 G3 R2 S","Sampurna",Yes,"M1 N2",Yes,""
"hamsakalyani","Hamsakalyani","Hamsakalyāni",65,"Mechakalyani",11,"Rudra","S R2 G3 P N3 S'","S' N3 D2 P M2 G3 R2 S","Audava-Sampurna",No,"",Yes,""
"kalyanadayini","Kalyanadayini","Kalyānadāyini",65,"Mechakalyani",11,"Rudra","S R2 G3 M2 D2 N3 S'","S' N3 D2 M2 G3 R2 S","Shadava",No,"",Yes,""
"kannadamaruva","Kannadamaruva","Kannadamaruva",65,"Mechakalyani",11,"Rudra","S G3 M2 P D2 N3 S'","S' N3 D2 P M2 G3 S","Shadava",No,"",Yes,""
"ked-ar","Ked ar","Ked ār",65,"Mechakalyani",11,"Rudra","S * M1 ( G3 )P D2 N3 S'","S' N3 D2 P M2 P *M1 S R2 S","Audava-Shadava",Yes,"M1",Yes,"Hindustani equivalent"
"kowmoda","Kowmoda","Kowmoda",65,"Mechakalyani",11,"Rudra","S R2 G3 M2 N3 S'","S' N3 P M2 G3 S","Audava",No,"",Yes,""
"kunthalashreekanti","Kunthalashreekanti","Kunthalashreekānti",65,"Mechakalyani",11,"Rudra","S G3 M2 P D2 N3 S'","S' N3 P M2 G3 R2 S","Shadava",No,"",Yes,""
"mohana-kalyani","Mohana Kalyani","Mohana Kalyāni",65,"Mechakalyani",11,"Rudra","S R2 G3 P D2 S'","S' N3 D2 P M2 G3 R2 S","Audava-Sampurna",No,"",Yes,""
"mrganandhana","Mrganandhana","Mrgānandhana",65,"Mechakalyani",11,"Rudra","S R2 G3 D2 N3 S'","S' N3 D2 M2 D2 G3 R2 S","Audava-Shadava",No,"",Yes,""
"nada-kalyani","Nada Kalyani","Nada Kalyani",65,"Mechakalyani",11,"Rudra","S R2 M2 P N3 S'","S' N3 D2 M2 G3 R2 S","Audava-Shadava",No,"",Yes,"Raga created by Mahesh Mahadev"
"nandhakalyani","Nandhakalyani","Nāndhakalyāni",65,"Mechakalyani",11,"Rudra","S G3 M2 D2 N3 S'","S' N3 D2 M2 G3 M2 R2 S","Audava-Shadava",No,"",Yes,""
"pramodhini","Pramodhini","Pramodhini",65,"Mechakalyani",11,"Rudra","S G3 M2 P D2 S'","S' D2 P M2 G3 S","Audava",No,"",Yes,""
"rajasadhaka","Rajasadhaka","Rajasadhaka",65,"Mechakalyani",11,"Rudra","S R2 G3 P D2 S'","S' N3 P M2 R2 S","Audava",No,"",Yes,"Raga created by Mahesh Mahadev"
"saranga","Saranga","Sāranga",65,"Mechakalyani",11,"Rudra","S R2 G3 M2 P D2 N3 S' S R2 S P M2 P D2 N3 S' S P M2 P D2 N3 S'","S' N3 D2 P M2 R2 G3 M1 R2 S' S N3 S D2 P M2 R2 G3 M1 R2 S' S N3 D2 P M2 R2 G3 M1 R2 S","Sampurna",Yes,"M1",Yes,""
"saranga-tarangini","Saranga Tarangini","Sāranga Tārangini",65,"Mechakalyani",11,"Rudra","S R2 M2 P D2 N3 S'","S' N3 D2 P M2 R2 S","Shadava",No,"",Yes,""
